                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.41702,                0.86411,                 0.4208,                0.93381,                0.93413,                0.84549,                0.91649,                0.77086,                0.95485,                0.86209,                0.92754,                 0.7876,                0.65931,                  1.873,                0.52205,                 1.0006,             7.5018e-05,             7.5018e-05,             7.5018e-05
                     58,                0.48512,                 1.1452,                0.71462,                 1.0122,                0.92275,                 0.8405,                0.91264,                 0.7716,                0.94303,                0.85709,                0.92815,                0.77079,                0.67763,                 2.0957,                0.54483,                 1.0046,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     59,                 0.7429,                 1.4026,                0.86413,                 1.2558,                0.93902,                0.83896,                0.91298,                  0.765,                0.96037,                0.85412,                0.92974,                0.76757,                0.66818,                 2.3082,                0.54915,                0.99912,             7.3447e-05,             7.3447e-05,             7.3447e-05
                     60,                0.45116,                0.93598,                0.44699,                0.93889,                0.93429,                0.84548,                0.91238,                0.76943,                0.95567,                0.86169,                 0.9298,                0.76983,                0.68644,                 2.3427,                0.54137,                 1.0146,             7.2661e-05,             7.2661e-05,             7.2661e-05
                     61,                 0.4257,                0.80137,                0.40404,                0.96543,                0.93261,                0.84623,                0.91359,                 0.7667,                 0.9537,                0.86275,                0.93226,                0.77458,                0.68132,                 2.6775,                0.53266,                 1.0032,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     62,                0.47466,                0.93901,                0.45356,                0.97279,                0.93274,                0.84751,                0.91561,                0.78038,                0.89599,                0.92165,                0.93467,                0.78177,                0.64109,                 2.5832,                0.51359,                0.96679,             7.1091e-05,             7.1091e-05,             7.1091e-05
                     63,                0.42843,                0.77946,                0.39574,                0.93931,                0.93297,                0.84934,                0.91614,                0.79765,                0.89041,                0.91966,                0.93461,                0.78307,                0.61252,                 2.5252,                0.50004,                0.94258,             7.0305e-05,             7.0305e-05,             7.0305e-05
                     64,                0.43788,                0.82476,                0.38843,                0.93341,                0.93017,                0.85321,                0.91684,                0.80908,                0.88686,                0.91306,                0.91419,                0.79356,                0.57248,                 2.6483,                 0.4841,                0.91748,              6.952e-05,              6.952e-05,              6.952e-05
                     65,                 0.4534,                0.98873,                0.44289,                0.95019,                0.90925,                0.87395,                0.91601,                0.81684,                0.89151,                 0.8801,                  0.913,                 0.7938,                0.56069,                 2.6679,                0.48322,                0.91516,             6.8734e-05,             6.8734e-05,             6.8734e-05
                     66,                0.41468,                0.86032,                0.41103,                0.91811,                0.90416,                0.87742,                0.91205,                0.81634,                0.87892,                0.90023,                 0.9127,                0.80841,                0.54594,                  2.659,                 0.5082,                0.91276,             6.7949e-05,             6.7949e-05,             6.7949e-05
                     67,                 0.4841,                0.93668,                0.44938,                0.96111,                0.90918,                0.87397,                0.91405,                0.81836,                0.88099,                0.91741,                0.91365,                0.82343,                0.53302,                 2.6358,                0.50743,                0.90205,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     68,                0.42936,                0.86117,                0.44214,                0.92938,                    0.9,                 0.8881,                0.91498,                0.81912,                0.87987,                0.91584,                0.91655,                0.82796,                0.53405,                 2.6235,                0.51649,                0.90318,             6.6378e-05,             6.6378e-05,             6.6378e-05
                     69,                0.41787,                 0.9026,                0.37752,                 0.9329,                0.88949,                0.88694,                0.91369,                0.82184,                0.86514,                0.91812,                0.91385,                0.82642,                0.53934,                 2.6215,                0.51992,                0.90624,             6.5593e-05,             6.5593e-05,             6.5593e-05
                     70,                0.42424,                0.91392,                0.43059,                0.93406,                0.90269,                 0.8881,                0.91647,                0.81477,                0.88074,                0.91644,                0.91498,                0.81031,                0.56148,                 2.6951,                0.51724,                0.92692,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     71,                0.47361,                0.96578,                 0.4848,                 0.9583,                0.88428,                0.89642,                0.91662,                0.80952,                0.88428,                0.89642,                0.91368,                0.80485,                0.57256,                 2.7356,                0.52462,                0.94228,             6.4022e-05,             6.4022e-05,             6.4022e-05
                     72,                0.37894,                0.80685,                0.36809,                  0.932,                0.88012,                0.88428,                0.91714,                0.80468,                0.88012,                0.88428,                 0.9097,                 0.8114,                0.59015,                 2.8398,                0.53899,                0.97465,             6.3237e-05,             6.3237e-05,             6.3237e-05
                     73,                0.44601,                0.80892,                0.39495,                0.94838,                0.88525,                0.87711,                0.91673,                0.80331,                0.88525,                0.87711,                0.90987,                0.80999,                0.60726,                 2.8557,                0.53719,                0.99089,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     74,                0.39392,                0.81871,                0.38557,                0.89496,                0.87577,                0.88238,                0.91547,                0.79874,                0.86305,                0.91053,                0.90871,                0.80618,                0.64233,                 2.8905,                0.54332,                 1.0269,             6.1666e-05,             6.1666e-05,             6.1666e-05
                     75,                0.50952,                 1.0503,                0.45757,                 1.0107,                0.89454,                 0.8649,                0.91602,                0.79517,                0.86233,                0.90578,                0.90743,                0.80995,                0.64969,                 2.9098,                0.55446,                 1.0415,              6.088e-05,              6.088e-05,              6.088e-05
                     76,                0.48017,                 1.0288,                0.43242,                0.97521,                0.87819,                0.87654,                0.92206,                0.79821,                0.87819,                0.87654,                0.90361,                0.81109,                 0.6384,                  2.872,                0.54198,                 1.0269,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     77,                0.38588,                0.65005,                0.34221,                0.92463,                 0.8989,                0.88681,                0.92342,                0.79982,                 0.8989,                0.88681,                0.90796,                0.81498,                0.62911,                 2.8313,                0.54035,                 1.0173,              5.931e-05,              5.931e-05,              5.931e-05
                     78,                0.45049,                0.84743,                 0.4004,                0.94009,                0.89556,                0.89035,                0.92349,                0.80851,                0.91266,                0.90702,                0.93396,                0.82471,                0.60847,                 2.7124,                0.53977,                0.98531,             5.8524e-05,             5.8524e-05,             5.8524e-05
                     79,                0.43826,                0.88609,                0.53707,                0.94944,                0.89829,                0.89191,                0.92316,                0.81182,                0.89829,                0.89191,                0.91187,                0.82245,                0.60074,                 2.6548,                0.52356,                0.97541,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     80,                0.40101,                0.89934,                0.38766,                 0.9286,                0.88148,                0.89433,                0.91387,                0.80495,                0.89886,                0.90727,                0.93136,                0.81913,                0.62471,                 2.6799,                0.51653,                0.99505,             5.6953e-05,             5.6953e-05,             5.6953e-05
                     81,                0.48007,                0.79766,                0.67938,                0.95469,                0.90607,                0.86476,                0.91184,                0.80324,                0.92594,                0.88118,                0.93008,                0.81392,                 0.6459,                 2.7161,                 0.5134,                 1.0162,             5.6168e-05,             5.6168e-05,             5.6168e-05
                     82,                0.38173,                0.81591,                0.39442,                0.91312,                0.90894,                0.86104,                0.91038,                0.79516,                0.92883,                0.87748,                0.92821,                0.80797,                0.66095,                 2.5706,                0.53361,                 1.0261,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     83,                0.44359,                0.76009,                 0.3728,                0.94468,                0.90952,                 0.8611,                0.91075,                0.79619,                0.92936,                0.87765,                0.92883,                0.80424,                0.66129,                 2.5643,                0.53988,                 1.0217,             5.4597e-05,             5.4597e-05,             5.4597e-05
                     84,                0.40322,                 0.7677,                0.40478,                0.93413,                0.90794,                0.86231,                0.90804,                 0.7864,                0.92774,                0.87897,                 0.9243,                0.79909,                0.68077,                 2.6219,                0.54486,                 1.0362,             5.3812e-05,             5.3812e-05,             5.3812e-05
                     85,                0.44792,                0.74164,                0.43425,                0.92613,                0.87921,                0.86686,                0.90729,                0.79139,                0.94042,                0.84622,                0.92278,                0.80204,                0.67512,                 2.7744,                0.55078,                 1.0291,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     86,                0.37838,                 0.7554,                0.60466,                 0.8982,                0.88353,                0.86099,                0.90611,                0.79805,                0.90255,                0.87747,                0.92303,                0.80721,                0.67869,                 2.8471,                0.57136,                 1.0211,             5.2241e-05,             5.2241e-05,             5.2241e-05
                     87,                0.46504,                0.89026,                0.48554,                0.96305,                0.88368,                 0.8591,                0.90533,                0.79938,                0.90296,                0.87542,                0.92263,                0.79662,                0.67667,                 2.7673,                0.57041,                 1.0175,             5.1456e-05,             5.1456e-05,             5.1456e-05
                     88,                0.46986,                0.87451,                0.44001,                0.97012,                0.88503,                0.85595,                0.91382,                0.78976,                0.90426,                 0.8723,                0.91981,                0.79238,                0.67783,                 2.8812,                0.57265,                 1.0325,              5.067e-05,              5.067e-05,              5.067e-05
                     89,                0.39752,                0.90138,                0.35919,                0.92321,                0.88588,                0.85397,                0.91476,                0.78667,                0.90502,                0.87034,                0.92074,                0.79247,                 0.6721,                 2.7842,                0.58522,                 1.0232,             4.9885e-05,             4.9885e-05,             4.9885e-05
                     90,                 0.3802,                 0.7318,                0.36169,                0.89834,                0.88346,                0.84748,                0.91538,                0.79172,                0.90254,                0.86378,                 0.9211,                0.79457,                0.66699,                 2.6652,                0.59425,                 1.0131,             4.9099e-05,             4.9099e-05,             4.9099e-05
