                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.79568,                 1.8863,                0.70725,                0.99941,                0.90429,                0.81553,                0.89244,                0.72913,                0.86623,                0.78125,                0.84215,                0.58175,                 0.7604,                 1.7319,                0.55387,                0.93821,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     69,                 0.8144,                 1.8531,                0.71817,                0.99164,                0.90595,                0.81562,                0.88892,                0.72599,                0.86568,                0.78151,                0.84031,                0.57995,                0.75887,                 1.7295,                0.55304,                0.93738,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     70,                 0.8197,                 1.9309,                0.74026,                  1.001,                0.90886,                0.81558,                0.88907,                0.72772,                0.86865,                0.77942,                0.83821,                0.58036,                0.75712,                 1.7252,                 0.5528,                0.93602,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     71,                0.85212,                 1.9847,                0.74248,                 1.0012,                0.91257,                0.81551,                0.89307,                0.72942,                0.87316,                0.77659,                0.83856,                 0.5823,                0.75505,                 1.7226,                0.55243,                0.93488,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     72,                0.84862,                 1.9225,                0.76895,                 1.0258,                0.90848,                0.81851,                0.89212,                0.73087,                0.86483,                0.78339,                0.83801,                0.58046,                0.75231,                 1.7218,                0.55275,                0.93425,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     73,                0.80744,                 1.9065,                0.74435,                0.99142,                0.90959,                0.81896,                0.89251,                0.73196,                 0.8668,                0.78425,                0.83862,                0.58287,                0.74996,                 1.7186,                0.55225,                0.93348,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     74,                0.82086,                 1.9036,                0.72523,                 1.0003,                 0.9078,                0.82204,                0.89473,                0.73424,                0.86425,                0.79189,                0.83895,                0.58493,                0.74481,                 1.7158,                0.55036,                0.93219,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     75,                0.81458,                 1.8901,                0.71881,                0.99148,                0.90834,                0.82436,                0.89538,                0.73637,                0.86923,                 0.7899,                 0.8393,                0.58621,                0.74092,                 1.7153,                0.54748,                0.93164,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     76,                0.82691,                 1.9493,                0.73142,                 1.0036,                0.89848,                0.82873,                0.89616,                0.73808,                0.86347,                0.78601,                0.83754,                0.58564,                0.73724,                 1.7153,                 0.5471,                0.93005,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     77,                0.85921,                 2.0376,                0.73362,                  0.996,                0.89668,                0.83512,                0.89709,                0.73782,                0.85467,                0.79642,                0.84055,                0.58517,                0.73588,                 1.7129,                0.54486,                0.92964,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     78,                0.84941,                 1.8726,                0.74044,                0.99284,                0.90384,                 0.8291,                0.89728,                0.73713,                0.86191,                0.79044,                0.84174,                0.58466,                0.73495,                 1.7148,                0.54528,                0.92945,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     79,                0.86761,                 1.9649,                0.73288,                 1.0156,                 0.9029,                0.83014,                0.89768,                 0.7385,                0.86385,                0.79226,                0.84256,                0.58568,                0.73431,                 1.7151,                0.54249,                0.92893,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     80,                0.81688,                 1.8548,                0.68245,                0.99126,                0.90249,                 0.8326,                0.89576,                0.74409,                0.86018,                0.79118,                0.83944,                0.58556,                 0.7338,                 1.7134,                0.54042,                0.92882,              2.593e-05,              2.593e-05,              2.593e-05
                     81,                0.83313,                 2.0108,                0.73669,                 1.0107,                0.90307,                0.83375,                0.89702,                0.74399,                0.86413,                0.79419,                0.84178,                0.58787,                0.73367,                 1.7101,                0.53971,                0.92849,             2.4752e-05,             2.4752e-05,             2.4752e-05
